arm,seed,views,n_molecules,n_targets,macro_auprc
M1,2026,1,3443,313,0.19187147225048465
M1,2026,2,2137,226,0.3021270758674064
M1,2026,3-4,4478,323,0.2200106005236335
M1,7,1,3443,313,0.18542298993536394
M1,7,2,2137,226,0.30688413265155773
M1,7,3-4,4478,323,0.2162579177073221
M1,13,1,3443,313,0.18636950929596188
M1,13,2,2137,226,0.300389169772545
M1,13,3-4,4478,323,0.2221481911435319
M2,2026,1,3443,313,0.196689620306677
M2,2026,2,2137,226,0.3053742769721197
M2,2026,3-4,4478,323,0.23548276658380554
M2,7,1,3443,313,0.1966535573279775
M2,7,2,2137,226,0.3146248201881496
M2,7,3-4,4478,323,0.23290012172557342
M2,13,1,3443,313,0.19593748201647207
M2,13,2,2137,226,0.31969783825024833
M2,13,3-4,4478,323,0.2329689982535371
