adduct,spectra,peaks,survive,absorbed_pct,peaks_per_spectrum
[M+H]+,46743,2062980,1593083,22.778,44.135
[M-H]-,16728,539946,403486,25.273,32.278
[M+Na]+,4236,382534,302826,20.837,90.305
[M+K]+,1498,310293,238691,23.076,207.138
[M+NH4]+,1766,251027,185585,26.07,142.144
[M-H2O+H]+,1260,113975,80976,28.953,90.456
[2M-H]-,476,22679,11643,48.662,47.645
[M+CH2O2-H]-,528,20387,17337,14.961,38.612
[M]+,670,19591,17421,11.077,29.24
[M+2H]2+,103,14498,11115,23.334,140.757
[2M+Na-2H]-,235,12808,7098,44.582,54.502
[M+C2H4O2-H]-,243,12186,4991,59.043,50.148
[2M+H]+,199,10907,7459,31.613,54.809
[M+Cl]-,233,4473,3958,11.514,19.197
[2M+Na]+,95,4256,3187,25.117,44.8
[M-2H2O+H]+,60,4041,2743,32.121,67.35
[M-2H]-,84,2271,1863,17.966,27.036
[M+C2H4N]+,13,1744,1407,19.323,134.154
[M-H2N]+,49,1565,1221,21.981,31.939
[2M+NH4]+,10,1073,871,18.826,107.3
[2M-HO]+,4,577,509,11.785,144.25
[M-H2O]+,6,496,353,28.831,82.667
[M-H2O-H]-,13,488,265,45.697,37.538
[M+CH5O]+,3,446,355,20.404,148.667
[M-CH3]-,23,307,263,14.332,13.348
[M]-,8,301,252,16.279,37.625
[2M-H3O2]+,2,264,236,10.606,132.0
[M+2Na-H]+,11,152,147,3.289,13.818
[M+H-O3S]+,6,135,126,6.667,22.5
[M+Na-H2]-,1,123,104,15.447,123.0
[M+Ca]2+,3,93,85,8.602,31.0
[2M+C2H4N]+,1,79,72,8.861,79.0
[4M+Ca]2+,1,60,55,8.333,60.0
[M+CH3O2]+,1,51,40,21.569,51.0
[2M+K]+,2,51,49,3.922,25.5
[M-C6H9O5]+,1,46,41,10.87,46.0
[M+K-H2]-,3,34,33,2.941,11.333
[2M-H]+,2,32,32,0.0,16.0
[M-CH4]-,1,25,23,8.0,25.0
[M+H3]+,1,23,22,4.348,23.0
[M-H2]2-,3,21,19,9.524,7.0
[M-C3H6NO2]-,3,18,18,0.0,6.0
[M-C6H9O8S]+,2,15,15,0.0,7.5
[2M+H-O2]+,2,12,12,0.0,6.0
[2M+Na-O3]+,1,12,10,16.667,12.0
[M+C2F3O2]-,3,12,12,0.0,4.0
[3M+Ca]2+,1,12,12,0.0,12.0
[2M+Na-O2]+,1,11,10,9.091,11.0
[M+C6H11N3]+,2,11,11,0.0,5.5
[M+H-CO]+,2,10,10,0.0,5.0
[M-C3H5]+,1,9,9,0.0,9.0
[M+Na-H2O]+,1,6,6,0.0,6.0
